Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,VALUUtilization,MemUnitBusy,MemUnitStalled,TCC_EA_RDREQ_sum,TCC_EA_RDREQ_32B_sum,WriteSize,L2CacheHit
1705,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1712,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1528725712,0.0984813862,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1707,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1714,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1626807742,0.1078300530,0.0000000000,83688.0000000000,993.9375000000,0.0000000000
1709,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1716,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1617937448,0.0973489553,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1711,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1718,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1579896747,0.1043999191,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1713,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1720,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1632595345,0.1044174077,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1715,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1722,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1641823847,0.1134207788,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1717,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1724,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1636334353,0.0980028990,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1719,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1726,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1619593253,0.1058075808,0.0000000000,83687.0000000000,993.9375000000,0.0000000000
1721,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1728,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1596036509,0.0944009875,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1723,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1730,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1452652950,0.0583795628,0.0000000000,83684.0000000000,993.9375000000,0.0000000000
1725,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1732,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1629913403,0.1057197768,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1727,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1734,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1658867594,0.1102204041,0.0000000000,83681.0000000000,993.9375000000,0.0000000000
1729,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1736,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1623449254,0.1094849543,0.0000000000,83695.0000000000,993.9375000000,0.0000000000
1731,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1738,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1596535392,0.0971906634,0.0000000000,83686.0000000000,993.9375000000,0.0000000000
1733,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1740,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1636176243,0.1047873454,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1735,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1742,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1667958130,0.1004920148,0.0000000000,83685.0000000000,993.9375000000,0.0000000000
1737,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1744,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1573894339,0.1144044941,0.0000000000,83671.0000000000,993.9375000000,0.0000000000
1739,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1746,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1656790067,0.1132112701,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1741,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1748,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1665164304,0.1097885766,0.0000000000,83682.0000000000,993.9375000000,0.0000000000
1743,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1750,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1665885100,0.1124697894,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1745,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1752,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1649843460,0.1133049482,0.0000000000,83691.0000000000,993.9375000000,0.0000000000
1747,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1754,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1651452498,0.1138014941,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
1749,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1756,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1662347182,0.0981803352,0.0000000000,83690.0000000000,993.9375000000,0.0000000000
1751,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1758,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1671690513,0.0983928078,0.0000000000,83683.0000000000,993.9375000000,0.0000000000
1753,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1760,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1579025281,0.1137802852,0.0000000000,83679.0000000000,993.9375000000,0.0000000000
1755,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1762,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1674020714,0.1105578641,0.0000000000,83678.0000000000,993.9375000000,0.0000000000
1757,"_ZN5aiter36mla_a8w8_qh16_qseqlen1_gqaratio16_psE.kd",1,0,1764,18131,18131,65536,256,163840,0,256,0,112,64,0x0,0x7f8ba46f9280,1024.0000000000,2.9766414141,0.1698263960,0.1084607310,0.0000000000,83680.0000000000,993.9375000000,0.0000000000
