Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,Wavefronts,WriteSize,VALUUtilization,L2CacheHit,MemUnitStalled
1743,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1750,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0500496425
1745,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1752,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0499456381
1747,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1754,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0564729479
1749,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1756,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0588745115
1751,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1758,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0584885386
1753,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1760,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0507643917
1755,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1762,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0499339283
1757,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1764,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0494176857
1759,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1766,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0584824080
1761,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1768,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0523342286
1763,"_ZN5aiter36mla_a8w8_qh32_qseqlen1_gqaratio32_psE.kd",1,0,1770,16359,16359,65536,256,163840,0,236,0,112,64,0x0,0x7f965fd40d80,1024.0000000000,993.9375000000,9.2810693642,0.0000000000,0.0527645805
