idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,q_dtype,softcap,has_sinks,mask,csv_ck_ua_ms,csv_triton_2d_ms,csv_triton_3d_ms,csv_best,ck_allowed_backend,eager_triton_only_ms,eager_ck_allowed_ms,eager_speedup_ck,graph_triton_only_ms,graph_ck_allowed_ms,graph_speedup_ck
2374,prefill,254,8192,7843,10999,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.173247678205371,0.12195436283946037,15.223847609013319,t_2d,triton_2d,0.09548669680953026,0.0929015502333641,1.0278267323814554,0.09660720825195312,0.09460074827075005,1.0212097686105033
2375,prefill,254,8192,7843,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1867598183453083,4.700903594493866,15.095907123759389,ck_ua,ck,3.3309216238558292,3.085769861936569,1.0794458993663927,3.3360085636377335,3.094424232840538,1.078070850219342
2376,prefill,254,8192,5977,10999,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.1780530232936144,0.11989520862698555,15.22576636634767,t_2d,triton_2d,0.09496688842773438,0.09341655299067497,1.0165959392358885,0.09878573939204216,0.09643536061048508,1.0243725824912977
2377,prefill,254,8192,5977,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.180845268070698,4.740029713138938,15.094683738425374,ck_ua,ck,3.3388236723840237,3.0913112685084343,1.08006712439379,3.3384717255830765,3.0926647409796715,1.079480643778265
2378,prefill,254,8192,4023,10999,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.1825868412852287,0.1283505465835333,15.221983147785068,t_2d,triton_2d,0.093899667263031,0.0923261046409607,1.0170435287851645,0.0949881412088871,0.09277297183871269,1.0238773139015696
2379,prefill,254,8192,4023,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1819889321923256,4.680771287530661,15.114006726071239,ck_ua,ck,3.3391010761260986,3.0864288471639156,1.0818655609684185,3.3347843028604984,3.0979000963270664,1.0764660573832858
2380,prefill,254,8192,6083,10999,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.166309976950288,0.12771403416991234,15.222594188526273,t_2d,triton_2d,0.09548209607601166,0.09343937039375305,1.021861509486318,0.09663606062531471,0.09469650685787201,1.0204817878905896
2381,prefill,254,8192,6083,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1627094838768244,4.700601007789373,15.131922857835889,ck_ua,ck,3.3376831002533436,3.09134092181921,1.0796878068981033,3.336785938590765,3.0926529318094254,1.078939671590793
2382,prefill,254,8192,7737,10999,64,8,64,32,"127,0",torch.bfloat16,0.0,False,causal,3.1568014062941074,0.12210751883685589,15.224588941782713,t_2d,triton_2d,0.09531846269965172,0.09328294545412064,1.0218208937938416,0.09649723768234253,0.09498514235019684,1.015919282687084
2383,prefill,254,8192,7737,10999,64,8,64,32,"-1,-1",torch.bfloat16,0.0,False,causal,3.1750562135130167,4.702493315562606,15.125861531123519,ck_ua,ck,3.3342865481972694,3.09048343449831,1.0788883418618087,3.338643778115511,3.0922587029635906,1.0796780278816216
