idx,phase,num_seqs,total_q_tokens,max_seqlen_q,max_seqlen_k,num_q_heads,num_kv_heads,head_size,block_size,window_size,trace_count,ck_ua_ms,ck_pagedkv_ms,ck_splitkv_ms,triton_2d_ms,triton_3d_ms,best
212,decode,248,248,1,131072,64,8,64,32,"-1,-1",1,8.493102760985494,88.56983263976872,87.2803466860205,12.674582842737436,16.2836748175323,ck_ua
213,decode,240,240,1,1,64,8,64,32,"127,0",1,0.013313768431544304,0.023508816957473755,0.08675106801092625,0.015803519636392593,0.044690584763884544,ck_ua
214,decode,240,240,1,1,64,8,64,32,"-1,-1",1,0.013360334560275078,0.023651542142033577,0.08777356706559658,0.01502232626080513,0.04448872059583664,ck_ua
215,decode,240,240,1,131072,64,8,64,32,"127,0",1,12.114762421697378,0.08308091200888157,0.14927871525287628,0.024791201576590538,15.870445454493165,t_2d
216,decode,240,240,1,131072,64,8,64,32,"-1,-1",1,12.108715157955885,84.45741175673902,86.69838211499155,11.479258257895708,15.840291092172265,t_2d
217,decode,232,232,1,1,64,8,64,32,"127,0",1,0.012961262837052345,0.023980997502803802,0.08574696257710457,0.015768036246299744,0.04350421950221062,ck_ua
218,decode,232,232,1,1,64,8,64,32,"-1,-1",1,0.012495508417487144,0.02413117326796055,0.08545857854187489,0.014724396169185638,0.04352722316980362,ck_ua
219,decode,232,232,1,131072,64,8,64,32,"127,0",1,8.37044408544898,0.078955153003335,0.13530291616916656,0.024245399981737137,15.324238268658519,t_2d
220,decode,232,232,1,131072,64,8,64,32,"-1,-1",1,8.362834481522441,83.85201604105532,84.10406513139606,11.175164440646768,15.324117615818977,ck_ua
221,decode,224,224,1,1,64,8,64,32,"127,0",1,0.013871118426322937,0.022839242592453957,0.08398429490625858,0.015288731083273888,0.04319576546549797,ck_ua
222,decode,224,224,1,1,64,8,64,32,"-1,-1",1,0.01316005364060402,0.022513791918754578,0.0819321721792221,0.014817574992775917,0.0425232108682394,ck_ua
223,decode,224,224,1,131072,64,8,64,32,"127,0",1,11.38761779293418,0.07676626555621624,0.1422119326889515,0.024559861049056053,14.899599039927125,t_2d
224,decode,224,224,1,131072,64,8,64,32,"-1,-1",1,11.04361331090331,79.22259434126318,79.5583117287606,10.879009310156107,14.897170336917043,t_2d
225,decode,216,216,1,1,64,8,64,32,"127,0",1,0.015091011300683022,0.022386061027646065,0.08175596594810486,0.014890637248754501,0.04173852503299713,t_2d
226,decode,216,216,1,1,64,8,64,32,"-1,-1",1,0.012820027768611908,0.02180212177336216,0.07841382175683975,0.014215568080544472,0.04156772047281265,ck_ua
227,decode,216,216,1,131072,64,8,64,32,"127,0",1,7.860545162111521,0.07453090511262417,0.12748450972139835,0.023833755403757095,14.280842849984765,t_2d
228,decode,216,216,1,131072,64,8,64,32,"-1,-1",1,7.829111767932773,75.5739061627537,76.35114244185388,10.587843647226691,14.278542902320623,ck_ua
229,decode,208,208,1,1,64,8,64,32,"127,0",1,0.013011787086725235,0.021646451205015182,0.07706130854785442,0.015021348372101784,0.0395236536860466,ck_ua
230,decode,208,208,1,1,64,8,64,32,"-1,-1",1,0.012196553871035576,0.02152780070900917,0.0773472711443901,0.013929186388850212,0.03976351581513882,ck_ua
231,decode,208,208,1,131072,64,8,64,32,"127,0",1,10.733441729098558,0.07272372022271156,0.13330290094017982,0.023706071078777313,13.936993107199669,t_2d
232,decode,208,208,1,131072,64,8,64,32,"-1,-1",1,10.663551930338144,73.94056348130107,75.01116530038416,10.372323170304298,13.934958539903164,t_2d
233,decode,200,200,1,1,64,8,64,32,"127,0",1,0.013121962547302246,0.021394062787294388,0.07652598433196545,0.01454763114452362,0.03848755732178688,ck_ua
234,decode,200,200,1,1,64,8,64,32,"-1,-1",1,0.01361975446343422,0.02100002020597458,0.07486939430236816,0.01379251480102539,0.03851712681353092,ck_ua
235,decode,200,200,1,131072,64,8,64,32,"127,0",1,7.580129383131862,0.0700601376593113,0.11892048642039299,0.02362700179219246,13.267253339290619,t_2d
236,decode,200,200,1,131072,64,8,64,32,"-1,-1",1,7.467241631820798,73.85338791646063,74.65299130417407,10.25211876258254,13.275527022778988,ck_ua
237,decode,192,192,1,1,64,8,64,32,"127,0",1,0.013104965910315514,0.02062334679067135,0.07331962697207928,0.014084950089454651,0.03773192875087261,ck_ua
238,decode,192,192,1,1,64,8,64,32,"-1,-1",1,0.013791956007480621,0.020385580137372017,0.07209521718323231,0.013571139425039291,0.03732130862772465,t_2d
239,decode,192,192,1,131072,64,8,64,32,"127,0",1,10.044948011636734,0.0680355355143547,0.12376084923744202,0.022801663726568222,12.921676971018314,t_2d
240,decode,192,192,1,131072,64,8,64,32,"-1,-1",1,9.827036876231432,70.60716869309545,71.27488483674824,10.223803669214249,12.969718081876636,ck_ua
241,decode,184,184,1,1,64,8,64,32,"127,0",1,0.014340784400701523,0.020167231559753418,0.07039015181362629,0.013890070840716362,0.03634733147919178,t_2d
242,decode,184,184,1,1,64,8,64,32,"-1,-1",1,0.013044849038124084,0.02039903774857521,0.07092896848917007,0.013493560254573822,0.036823051050305367,ck_ua
243,decode,184,184,1,131072,64,8,64,32,"127,0",1,7.1197242476046085,0.06602248176932335,0.11351932771503925,0.0225758645683527,12.217628490179777,t_2d
244,decode,184,184,1,131072,64,8,64,32,"-1,-1",1,7.046745717525482,63.804663298651576,65.65093505196273,10.075856046751142,12.242020154371858,ck_ua
245,decode,176,176,1,1,64,8,64,32,"127,0",1,0.0138135626912117,0.01980513334274292,0.0686559360474348,0.013916194438934326,0.03481442108750343,ck_ua
246,decode,176,176,1,1,64,8,64,32,"-1,-1",1,0.012257182970643044,0.01961681991815567,0.0678512267768383,0.013347342610359192,0.03469879738986492,ck_ua
247,decode,176,176,1,131072,64,8,64,32,"127,0",1,9.46769304573536,0.06379010155797005,0.1133960671722889,0.022788159549236298,11.916917422786355,t_2d
248,decode,176,176,1,131072,64,8,64,32,"-1,-1",1,9.423370053991675,62.28456199169159,62.59990893304348,9.880257397890091,11.934007424861193,ck_ua
249,decode,168,168,1,1,64,8,64,32,"127,0",1,0.012444471940398216,0.01962091773748398,0.06665843538939953,0.013490067794919014,0.03383951261639595,ck_ua
250,decode,168,168,1,1,64,8,64,32,"-1,-1",1,0.015428988263010979,0.01918668858706951,0.0650895293802023,0.012997258454561234,0.03344239667057991,t_2d
251,decode,168,168,1,131072,64,8,64,32,"127,0",1,6.855760561302304,0.061656348407268524,0.10569035075604916,0.02187383361160755,11.192180961370468,t_2d
252,decode,168,168,1,131072,64,8,64,32,"-1,-1",1,6.841875333338976,60.196851287037134,60.520444763824344,9.75630423054099,11.147255124524236,ck_ua
253,decode,160,160,1,1,64,8,64,32,"127,0",1,0.013774959370493889,0.01874607987701893,0.06316765211522579,0.013484479859471321,0.032446905970573425,t_2d
254,decode,160,160,1,1,64,8,64,32,"-1,-1",1,0.014351867139339447,0.018370943143963814,0.061679352074861526,0.012832507491111755,0.032303668558597565,t_2d
255,decode,160,160,1,131072,64,8,64,32,"127,0",1,8.695091214030981,0.061271246522665024,0.10627070441842079,0.02193092368543148,10.872631147503853,t_2d
256,decode,160,160,1,131072,64,8,64,32,"-1,-1",1,8.657514536753297,60.52821367047727,61.13531761802733,9.659253060817719,10.836887266486883,ck_ua
257,decode,152,152,1,1,64,8,64,32,"127,0",1,0.013741385191679,0.018251268193125725,0.0602897722274065,0.01311497762799263,0.03115590661764145,t_2d
258,decode,152,152,1,1,64,8,64,32,"-1,-1",1,0.013521034270524979,0.018684426322579384,0.061282748356461525,0.013107946142554283,0.031279074028134346,t_2d
259,decode,152,152,1,131072,64,8,64,32,"127,0",1,6.351322354748845,0.057058827951550484,0.09357589296996593,0.020966911688447,10.132022527977824,t_2d
