M,N,K
10300,8192,3072
10304,3072,3072
10304,4096,3072
10306,3072,6144
10306,8192,3072
10307,3072,3072
10307,4096,3072
10313,3072,3072
10313,4096,3072
10321,2048,3072
10329,2048,3072
10333,3072,3072
10333,4096,3072
10341,2048,3072
10344,3072,3072
10344,4096,3072
10346,2048,3072
10348,3072,3072
10348,4096,3072
10349,3072,3072
10349,4096,3072
10355,3072,3072
10355,4096,3072
10357,3072,3072
10357,4096,3072
10359,3072,3072
10359,4096,3072
10360,3072,3072
10360,4096,3072
10362,2048,3072
10363,2048,3072
10363,3072,3072
10363,4096,3072
10366,3072,3072
10366,4096,3072
10367,3072,3072
10367,4096,3072
10369,2048,3072
10369,3072,6144
10369,8192,3072
10370,3072,3072
10370,4096,3072
10371,3072,6144
10371,8192,3072
10376,2048,3072
10379,2048,3072
10380,3072,6144
10380,8192,3072
10384,3072,3072
10384,4096,3072
10388,2048,3072
10391,3072,3072
10391,4096,3072
10399,3072,3072
10399,4096,3072
10406,3072,3072
10406,4096,3072
10411,3072,3072
10411,4096,3072
10413,3072,3072
10413,4096,3072
10414,2048,3072
10415,3072,3072
10415,4096,3072
10416,3072,3072
10416,4096,3072
10418,3072,3072
10418,4096,3072
10419,3072,3072
10419,4096,3072
10422,3072,3072
10422,4096,3072
10432,2048,3072
10434,3072,3072
10434,4096,3072
10436,2048,3072
10437,2048,3072
10440,3072,3072
10440,4096,3072
10444,3072,3072
10444,4096,3072
10450,3072,6144
10450,8192,3072
10451,3072,6144
10451,8192,3072
10453,2048,3072
10454,2048,3072
10459,2048,3072
10459,3072,3072
10459,4096,3072
10461,3072,3072
10461,4096,3072
10466,2048,3072
10468,3072,3072
10468,4096,3072
10469,2048,3072
10472,2048,3072
10473,3072,3072
10473,4096,3072
10474,3072,3072
10474,4096,3072
10476,3072,3072
10476,4096,3072
10480,3072,3072
10480,3072,6144
10480,4096,3072
10480,8192,3072
10483,2048,3072
10484,3072,3072
10484,3072,6144
10484,4096,3072
10484,8192,3072
10489,3072,3072
10489,3072,6144
10489,4096,3072
10489,8192,3072
10495,3072,3072
10495,4096,3072
10497,2048,3072
10498,3072,3072
10498,4096,3072
10503,3072,6144
10503,8192,3072
10508,2048,3072
10509,3072,6144
10509,8192,3072
10510,2048,3072
10513,3072,3072
10513,4096,3072
10519,2048,3072
10521,3072,3072
10521,4096,3072
10526,3072,3072
10526,4096,3072
10529,3072,3072
10529,4096,3072
10530,2048,3072
10532,3072,3072
10532,4096,3072
10535,3072,3072
10535,4096,3072
10542,2048,3072
10547,3072,3072
10547,4096,3072
10553,2048,3072
10554,3072,3072
10554,4096,3072
10556,3072,6144
10556,8192,3072
10559,2048,3072
10566,2048,3072
10569,3072,3072
10569,4096,3072
10572,2048,3072
10573,3072,6144
10573,8192,3072
10576,2048,3072
10578,2048,3072
10580,3072,3072
10580,4096,3072
10583,2048,3072
10587,3072,3072
10587,4096,3072
10589,3072,3072
10589,4096,3072
10593,3072,3072
10593,4096,3072
10594,2048,3072
10595,3072,3072
10595,4096,3072
10600,3072,3072
10600,4096,3072
10603,2048,3072
10605,2048,3072
10613,3072,3072
10613,4096,3072
10616,2048,3072
10628,2048,3072
10628,3072,3072
10628,4096,3072
10635,3072,3072
10635,4096,3072
10640,2048,3072
10640,3072,3072
10640,4096,3072
10643,2048,3072
10648,3072,6144
10648,8192,3072
10651,3072,6144
10651,8192,3072
10652,3072,3072
10652,4096,3072
10656,3072,3072
10656,4096,3072
10659,2048,3072
