M,N,K
30314,3072,6144
30314,8192,3072
30324,3072,6144
30324,8192,3072
30334,3072,6144
30334,8192,3072
30342,3072,6144
30342,8192,3072
30343,3072,6144
30343,8192,3072
30437,3072,6144
30437,8192,3072
30469,2048,3072
30486,2048,3072
30486,3072,3072
30486,4096,3072
30509,3072,6144
30509,8192,3072
30745,3072,6144
30745,8192,3072
30801,3072,3072
30801,4096,3072
31001,2048,3072
31001,3072,3072
31001,3072,6144
31001,4096,3072
31001,8192,3072
31007,3072,3072
31007,4096,3072
31033,3072,3072
31033,3072,6144
31033,4096,3072
31033,8192,3072
31810,3072,6144
31810,8192,3072
31895,3072,3072
31895,4096,3072
32001,3072,3072
32001,3072,6144
32001,4096,3072
32001,8192,3072
32002,3072,3072
32002,4096,3072
32003,2048,3072
32004,2048,3072
32004,3072,6144
32004,8192,3072
32005,2048,3072
32005,3072,3072
32005,4096,3072
32006,3072,3072
32006,4096,3072
32007,3072,3072
32007,4096,3072
32008,3072,6144
32008,8192,3072
32012,3072,6144
32012,8192,3072
32014,3072,6144
32014,8192,3072
32019,3072,3072
32019,4096,3072
32040,3072,6144
32040,8192,3072
32315,3072,3072
32315,4096,3072
32409,3072,3072
32409,4096,3072
32417,3072,3072
32417,4096,3072
33031,3072,6144
33031,8192,3072
33563,3072,3072
33563,4096,3072
33693,3072,3072
33693,4096,3072
33741,3072,6144
33741,8192,3072
33823,3072,3072
33823,4096,3072
33995,3072,6144
33995,8192,3072
34003,2048,3072
34007,2048,3072
34261,3072,6144
34261,8192,3072
34316,3072,3072
34316,4096,3072
34348,3072,3072
34348,4096,3072
34501,3072,3072
34501,4096,3072
35001,2048,3072
35001,3072,3072
35001,3072,6144
35001,4096,3072
35001,8192,3072
35006,2048,3072
35009,2048,3072
35108,3072,3072
35108,4096,3072
35163,3072,6144
35163,8192,3072
35171,3072,6144
35171,8192,3072
35200,3072,6144
35200,8192,3072
35209,3072,6144
35209,8192,3072
35265,3072,6144
35265,8192,3072
35453,2048,3072
35546,3072,3072
35546,4096,3072
35791,2048,3072
36016,2048,3072
36016,3072,3072
36016,4096,3072
36031,3072,3072
36031,4096,3072
36171,3072,3072
36171,4096,3072
36230,3072,6144
36230,8192,3072
37042,3072,3072
37042,4096,3072
37248,3072,6144
37248,8192,3072
37515,3072,3072
37515,4096,3072
37930,2048,3072
38006,2048,3072
38016,3072,3072
38016,4096,3072
38326,3072,3072
38326,4096,3072
38508,3072,3072
38508,4096,3072
38538,2048,3072
38867,3072,6144
38867,8192,3072
38956,3072,6144
38956,8192,3072
38959,3072,6144
38959,8192,3072
38988,3072,6144
38988,8192,3072
38993,3072,6144
38993,8192,3072
39284,3072,3072
39284,4096,3072
39723,3072,6144
39723,8192,3072
39980,3072,3072
39980,4096,3072
40000,3072,6144
40000,8192,3072
40001,2048,3072
40004,3072,6144
40004,8192,3072
40009,3072,6144
40009,8192,3072
40013,3072,6144
40013,8192,3072
40015,3072,6144
40015,8192,3072
40074,3072,6144
40074,8192,3072
40081,3072,6144
40081,8192,3072
40092,3072,6144
40092,8192,3072
40130,3072,6144
40130,8192,3072
40148,3072,6144
40148,8192,3072
40155,3072,6144
40155,8192,3072
40157,3072,6144
40157,8192,3072
40164,3072,6144
40164,8192,3072
40222,3072,6144
40222,8192,3072
40288,3072,6144
40288,8192,3072
40358,2048,3072
40364,3072,6144
40364,8192,3072
40373,3072,6144
40373,8192,3072
40384,3072,6144
40384,8192,3072
40395,3072,6144
40395,8192,3072
40405,3072,6144
40405,8192,3072
40413,3072,6144
40413,8192,3072
40476,2048,3072
40476,3072,3072
40476,4096,3072
40715,3072,3072
40715,4096,3072
41215,3072,3072
41215,4096,3072
41307,3072,3072
41307,4096,3072
42387,3072,3072
42387,4096,3072
42405,3072,3072
42405,4096,3072
42707,3072,3072
42707,4096,3072
43085,3072,6144
43085,8192,3072
43337,3072,3072
43337,4096,3072
43462,2048,3072
43991,3072,6144
43991,8192,3072
44084,3072,6144
44084,8192,3072
44313,3072,3072
44313,4096,3072
44477,3072,6144
44477,8192,3072
45000,2048,3072
45001,2048,3072
45002,3072,3072
45002,4096,3072
45007,2048,3072
45055,3072,6144
45055,8192,3072
45073,3072,6144
45073,8192,3072
45224,3072,3072
45224,4096,3072
45599,3072,6144
45599,8192,3072
46082,3072,3072
46082,4096,3072
46359,2048,3072
47559,3072,6144
47559,8192,3072
47737,3072,6144
47737,8192,3072
47900,3072,3072
47900,4096,3072
47925,2048,3072
47925,3072,3072
47925,4096,3072
47996,3072,3072
47996,4096,3072
48080,3072,6144
48080,8192,3072
48137,3072,3072
48137,4096,3072
48329,3072,3072
48329,4096,3072
48530,3072,3072
48530,4096,3072
48957,3072,6144
48957,8192,3072
48982,3072,6144
48982,8192,3072
48989,3072,6144
48989,8192,3072
49015,2048,3072
49527,3072,3072
49527,4096,3072
49559,3072,3072
49559,4096,3072
50000,2048,3072
50001,3072,3072
50001,3072,6144
50001,4096,3072
50001,8192,3072
50002,3072,3072
50002,4096,3072
50003,3072,6144
50003,8192,3072
50007,3072,6144
50007,8192,3072
50011,3072,6144
50011,8192,3072
50014,3072,6144
50014,8192,3072
50020,3072,6144
50020,8192,3072
50022,3072,6144
50022,8192,3072
50033,3072,6144
50033,8192,3072
50043,3072,6144
50043,8192,3072
50047,3072,6144
50047,8192,3072
50051,3072,6144
50051,8192,3072
50084,2048,3072
50091,2048,3072
50111,3072,3072
50111,4096,3072
50150,3072,6144
50150,8192,3072
50161,3072,6144
50161,8192,3072
50218,3072,6144
50218,8192,3072
50225,3072,6144
50225,8192,3072
50234,3072,6144
50234,8192,3072
50294,3072,6144
50294,8192,3072
50302,3072,6144
50302,8192,3072
50359,3072,6144
50359,8192,3072
50435,3072,6144
50435,8192,3072
50681,3072,6144
50681,8192,3072
50798,2048,3072
51013,2048,3072
51074,3072,6144
51074,8192,3072
51297,2048,3072
51369,2048,3072
51558,2048,3072
51980,2048,3072
52057,2048,3072
52991,3072,3072
52991,4096,3072
53069,2048,3072
53073,3072,3072
53073,4096,3072
53126,3072,3072
53126,4096,3072
53264,3072,3072
53264,4096,3072
53339,2048,3072
53520,3072,3072
53520,4096,3072
53570,3072,6144
53570,8192,3072
53579,3072,3072
53579,4096,3072
53701,3072,3072
53701,4096,3072
53803,2048,3072
53956,3072,3072
53956,4096,3072
53979,3072,6144
53979,8192,3072
53987,3072,6144
53987,8192,3072
54074,3072,6144
54074,8192,3072
54090,2048,3072
54120,2048,3072
54477,3072,6144
54477,8192,3072
54478,3072,6144
54478,8192,3072
54541,2048,3072
55001,3072,3072
55001,4096,3072
55004,3072,3072
55004,4096,3072
55005,3072,3072
55005,4096,3072
55009,2048,3072
55027,3072,3072
55027,4096,3072
55065,2048,3072
55066,3072,6144
55066,8192,3072
55072,3072,6144
55072,8192,3072
55086,3072,6144
55086,8192,3072
55113,3072,6144
55113,8192,3072
55172,3072,6144
55172,8192,3072
55175,3072,6144
55175,8192,3072
55183,3072,6144
55183,8192,3072
55197,3072,6144
55197,8192,3072
55223,3072,6144
55223,8192,3072
55549,3072,6144
55549,8192,3072
56072,3072,6144
56072,8192,3072
56131,3072,3072
56131,4096,3072
57001,2048,3072
57100,3072,3072
57100,4096,3072
57327,2048,3072
57390,2048,3072
57390,3072,6144
57390,8192,3072
58563,3072,3072
58563,4096,3072
58985,3072,6144
58985,8192,3072
58986,3072,6144
58986,8192,3072
59012,3072,6144
59012,8192,3072
59069,3072,3072
59069,4096,3072
59529,2048,3072
60001,2048,3072
60001,3072,6144
60001,8192,3072
60002,2048,3072
60002,3072,3072
60002,4096,3072
60003,3072,6144
60003,8192,3072
60004,2048,3072
60004,3072,3072
60004,3072,6144
60004,4096,3072
60004,8192,3072
60005,2048,3072
60006,2048,3072
60006,3072,6144
60006,8192,3072
60008,2048,3072
60012,3072,3072
60012,4096,3072
60014,3072,6144
60014,8192,3072
60025,3072,6144
60025,8192,3072
60026,3072,3072
60026,4096,3072
60029,3072,6144
60029,8192,3072
60065,3072,6144
60065,8192,3072
60070,3072,6144
60070,8192,3072
60076,3072,6144
60076,8192,3072
60127,2048,3072
60132,3072,6144
60132,8192,3072
60139,3072,6144
60139,8192,3072
60171,3072,6144
60171,8192,3072
60189,3072,6144
60189,8192,3072
60192,3072,6144
60192,8192,3072
60195,3072,6144
60195,8192,3072
60217,2048,3072
60221,3072,6144
60221,8192,3072
60224,2048,3072
60248,3072,6144
60248,8192,3072
60429,3072,6144
60429,8192,3072
60685,3072,6144
60685,8192,3072
61067,3072,6144
61067,8192,3072
61447,3072,3072
61447,4096,3072
61539,3072,3072
61539,4096,3072
62303,3072,6144
62303,8192,3072
62341,3072,6144
62341,8192,3072
62537,2048,3072
62559,2048,3072
63226,2048,3072
63269,2048,3072
63504,2048,3072
64005,3072,3072
64005,4096,3072
64071,3072,6144
64071,8192,3072
64077,2048,3072
64476,2048,3072
64476,3072,6144
64476,8192,3072
64477,3072,6144
64477,8192,3072
64492,3072,6144
64492,8192,3072
64494,3072,6144
64494,8192,3072
64507,3072,3072
64507,4096,3072
64616,3072,3072
64616,4096,3072
64768,3072,6144
64768,8192,3072
64872,3072,3072
64872,4096,3072
64899,3072,6144
64899,8192,3072
64949,2048,3072
65002,3072,6144
65002,8192,3072
65003,2048,3072
65004,2048,3072
65015,3072,6144
65015,8192,3072
65089,3072,3072
65089,4096,3072
65092,3072,3072
65092,4096,3072
65102,3072,3072
65102,4096,3072
65126,3072,3072
65126,4096,3072
65204,2048,3072
65316,2048,3072
65316,3072,3072
65316,4096,3072
65317,2048,3072
65317,3072,3072
65317,4096,3072
65339,3072,3072
65339,4096,3072
65348,3072,3072
65348,4096,3072
65536,2048,3072
65536,3072,3072
65536,3072,6144
65536,4096,3072
65536,8192,3072
