cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,480,2048,3072,ck,18,0,12.3829,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,487.75,785.93,0.0
256,496,2048,3072,ck,18,0,12.3999,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,503.32,794.1,0.0
256,512,2048,3072,ck,18,0,11.7797,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,546.91,845.65,0.0
256,1000,2048,3072,ck,18,0,18.0286,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,697.94,746.56,0.0
256,1001,2048,3072,ck,18,0,17.9109,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,703.23,751.87,0.0
256,1002,2048,3072,ck,18,0,17.8483,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,706.4,754.91,0.0
256,1003,2048,3072,ck,18,0,17.7767,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,709.96,758.35,0.0
256,1004,2048,3072,ck,18,0,18.2137,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,693.61,740.55,0.0
256,1005,2048,3072,ck,18,0,18.0366,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,701.12,748.22,0.0
256,1025,2048,3072,ck,18,0,22.4361,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,574.85,607.89,0.0
256,1029,2048,3072,ck,18,0,22.6741,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,571.04,602.77,0.0
256,1030,2048,3072,ck,18,0,22.5404,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,574.99,606.67,0.0
256,1031,2048,3072,ck,18,0,22.4632,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,577.52,609.07,0.0
256,1034,2048,3072,ck,18,0,22.4285,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,580.1,610.97,0.0
256,1122,2048,3072,ck,18,0,22.5779,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,625.3,634.87,0.0
256,1163,2048,3072,ck,18,0,22.5987,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,647.56,647.29,0.0
256,1738,2048,3072,ck,0,0,26.9987,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,810.01,694.46,0.0
256,1743,2048,3072,ck,0,0,26.986,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,812.72,696.11,0.0
256,2000,2048,3072,ck,0,0,27.7591,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,906.58,743.09,0.0
256,2001,2048,3072,ck,0,0,27.8,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,905.7,742.25,0.0
256,2002,2048,3072,ck,0,0,27.7265,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,908.55,744.48,0.0
256,2004,2048,3072,ck,0,0,27.684,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,910.86,746.14,0.0
256,2006,2048,3072,ck,0,0,27.9224,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,903.98,740.28,0.0
256,2029,2048,3072,ck,0,0,28.1135,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,908.13,741.11,0.0
