cu_num,M,N,K,kernelId,splitK,us,kernelName
304,2048,512,7168,23,0,27.5652,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_32x128x256_1x4x1_16x16x64_default
304,2048,3072,1536,128,0,28.8687,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x256_1x4x1_16x16x64_default
304,2048,4608,7168,14,0,135.6471,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x256x128_1x4x1_16x16x64_default
304,2048,7168,256,48,0,19.2179,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x128_1x4x1_16x16x64_default
304,2048,7168,2048,28,0,68.5667,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x128x128_1x4x1_16x16x64_default
304,2048,7168,2304,0,0,72.9137,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x128x128_1x4x1_16x16x64_default
304,4096,512,7168,24,0,43.0565,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_64x128x256_1x4x1_16x16x64_default
304,4096,3072,1536,55,0,48.1121,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x64_default
304,4096,4608,7168,14,0,259.22,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x256x128_1x4x1_16x16x64_default
304,4096,7168,256,115,0,32.6848,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,4096,7168,2048,115,0,129.0336,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,4096,7168,2304,115,0,141.711,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,8192,512,7168,68,0,70.1676,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_64x256x256_1x4x1_16x16x64_default
304,8192,3072,1536,81,0,89.6463,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_96x192x128_1x4x1_16x16x64_default
304,8192,4608,7168,89,0,499.3328,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_224x192x128_1x4x1_16x16x64_default
304,8192,7168,256,115,0,59.131,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,8192,7168,2048,115,0,247.8193,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,8192,7168,2304,115,0,270.8326,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,16384,512,7168,14,0,128.6122,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x256x128_1x4x1_16x16x64_default
304,16384,3072,1536,55,0,167.657,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x64_default
304,16384,4608,7168,122,0,986.2648,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_224x192x128_1x4x1_16x16x64_default
304,16384,7168,256,115,0,115.5114,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,16384,7168,2048,115,0,472.8119,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,16384,7168,2304,115,0,524.6551,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,32768,512,7168,14,0,257.0784,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x1_128x256x128_1x4x1_16x16x64_default
304,32768,3072,1536,55,0,321.4123,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x64_default
304,32768,4608,7168,55,0,1937.9196,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x192x128_1x4x1_16x16x64_default
304,32768,7168,256,41,0,220.9724,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_128x128x64_1x4x1_16x16x64_default
304,32768,7168,2048,115,0,941.9754,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
304,32768,7168,2304,115,0,1048.4302,a8w8_bpreshuffle_cktile_0x0x8x4x1x0x0x0x0x2_96x256x128_1x4x1_16x16x64_default
