M,N,K,q_dtype_w
1343,9216,2048,torch.float8_e4m3fn
16,1024,2048,torch.float8_e4m3fn
16,12288,2048,torch.float8_e4m3fn
16,2048,4096,torch.float8_e4m3fn
16,2048,512,torch.float8_e4m3fn
16,9216,2048,torch.float8_e4m3fn
1688,1024,2048,torch.float8_e4m3fn
1688,12288,2048,torch.float8_e4m3fn
1688,2048,4096,torch.float8_e4m3fn
1688,2048,512,torch.float8_e4m3fn
1688,9216,2048,torch.float8_e4m3fn
2,1024,2048,torch.float8_e4m3fn
2,12288,2048,torch.float8_e4m3fn
2,2048,4096,torch.float8_e4m3fn
2,2048,512,torch.float8_e4m3fn
2,9216,2048,torch.float8_e4m3fn
2017,1024,2048,torch.float8_e4m3fn
2017,12288,2048,torch.float8_e4m3fn
2017,2048,4096,torch.float8_e4m3fn
2017,2048,512,torch.float8_e4m3fn
2017,9216,2048,torch.float8_e4m3fn
2048,1024,2048,torch.float8_e4m3fn
2048,12288,2048,torch.float8_e4m3fn
2048,2048,4096,torch.float8_e4m3fn
2048,2048,512,torch.float8_e4m3fn
2048,9216,2048,torch.float8_e4m3fn
2050,1024,2048,torch.float8_e4m3fn
2050,12288,2048,torch.float8_e4m3fn
2050,2048,4096,torch.float8_e4m3fn
2050,2048,512,torch.float8_e4m3fn
2050,9216,2048,torch.float8_e4m3fn
2063,1024,2048,torch.float8_e4m3fn
2063,12288,2048,torch.float8_e4m3fn
2063,2048,4096,torch.float8_e4m3fn
2063,2048,512,torch.float8_e4m3fn
2063,9216,2048,torch.float8_e4m3fn
2064,1024,2048,torch.float8_e4m3fn
2064,12288,2048,torch.float8_e4m3fn
2064,2048,4096,torch.float8_e4m3fn
2064,2048,512,torch.float8_e4m3fn
2064,9216,2048,torch.float8_e4m3fn
2099,1024,2048,torch.float8_e4m3fn
2099,12288,2048,torch.float8_e4m3fn
2099,2048,4096,torch.float8_e4m3fn
2099,2048,512,torch.float8_e4m3fn
2099,9216,2048,torch.float8_e4m3fn
2159,1024,2048,torch.float8_e4m3fn
2159,12288,2048,torch.float8_e4m3fn
2159,2048,4096,torch.float8_e4m3fn
2159,2048,512,torch.float8_e4m3fn
2159,9216,2048,torch.float8_e4m3fn
2160,1024,2048,torch.float8_e4m3fn
2160,12288,2048,torch.float8_e4m3fn
2160,2048,4096,torch.float8_e4m3fn
2160,2048,512,torch.float8_e4m3fn
2160,9216,2048,torch.float8_e4m3fn
2313,1024,2048,torch.float8_e4m3fn
2313,12288,2048,torch.float8_e4m3fn
2313,2048,4096,torch.float8_e4m3fn
2313,2048,512,torch.float8_e4m3fn
2313,9216,2048,torch.float8_e4m3fn
2325,1024,2048,torch.float8_e4m3fn
2325,12288,2048,torch.float8_e4m3fn
2325,2048,4096,torch.float8_e4m3fn
2325,2048,512,torch.float8_e4m3fn
2325,9216,2048,torch.float8_e4m3fn
256,1024,2048,torch.float8_e4m3fn
256,12288,2048,torch.float8_e4m3fn
256,2048,4096,torch.float8_e4m3fn
256,2048,512,torch.float8_e4m3fn
256,9216,2048,torch.float8_e4m3fn
3072,1024,2048,torch.float8_e4m3fn
3072,12288,2048,torch.float8_e4m3fn
3072,2048,4096,torch.float8_e4m3fn
3072,2048,512,torch.float8_e4m3fn
3072,9216,2048,torch.float8_e4m3fn
3073,1024,2048,torch.float8_e4m3fn
3073,12288,2048,torch.float8_e4m3fn
3073,2048,4096,torch.float8_e4m3fn
3073,2048,512,torch.float8_e4m3fn
3073,9216,2048,torch.float8_e4m3fn
3182,1024,2048,torch.float8_e4m3fn
3182,12288,2048,torch.float8_e4m3fn
3182,2048,4096,torch.float8_e4m3fn
3182,2048,512,torch.float8_e4m3fn
3182,9216,2048,torch.float8_e4m3fn
3183,1024,2048,torch.float8_e4m3fn
3183,12288,2048,torch.float8_e4m3fn
3183,2048,4096,torch.float8_e4m3fn
3183,2048,512,torch.float8_e4m3fn
3183,9216,2048,torch.float8_e4m3fn
32,1024,2048,torch.float8_e4m3fn
32,12288,2048,torch.float8_e4m3fn
32,2048,4096,torch.float8_e4m3fn
32,2048,512,torch.float8_e4m3fn
32,9216,2048,torch.float8_e4m3fn
3847,1024,2048,torch.float8_e4m3fn
3847,12288,2048,torch.float8_e4m3fn
3847,2048,4096,torch.float8_e4m3fn
3847,2048,512,torch.float8_e4m3fn
3847,9216,2048,torch.float8_e4m3fn
4,1024,2048,torch.float8_e4m3fn
4,12288,2048,torch.float8_e4m3fn
4,2048,4096,torch.float8_e4m3fn
4,2048,512,torch.float8_e4m3fn
4,9216,2048,torch.float8_e4m3fn
4096,1024,2048,torch.float8_e4m3fn
4096,12288,2048,torch.float8_e4m3fn
4096,2048,4096,torch.float8_e4m3fn
4096,2048,512,torch.float8_e4m3fn
4096,9216,2048,torch.float8_e4m3fn
4111,1024,2048,torch.float8_e4m3fn
4111,12288,2048,torch.float8_e4m3fn
4111,2048,4096,torch.float8_e4m3fn
4111,2048,512,torch.float8_e4m3fn
4111,9216,2048,torch.float8_e4m3fn
4141,1024,2048,torch.float8_e4m3fn
4141,12288,2048,torch.float8_e4m3fn
4141,2048,4096,torch.float8_e4m3fn
4141,2048,512,torch.float8_e4m3fn
4141,9216,2048,torch.float8_e4m3fn
4142,1024,2048,torch.float8_e4m3fn
4142,12288,2048,torch.float8_e4m3fn
4142,2048,4096,torch.float8_e4m3fn
4142,2048,512,torch.float8_e4m3fn
4142,9216,2048,torch.float8_e4m3fn
4345,1024,2048,torch.float8_e4m3fn
4345,12288,2048,torch.float8_e4m3fn
4345,2048,4096,torch.float8_e4m3fn
4345,2048,512,torch.float8_e4m3fn
4345,9216,2048,torch.float8_e4m3fn
48,1024,2048,torch.float8_e4m3fn
48,12288,2048,torch.float8_e4m3fn
48,2048,4096,torch.float8_e4m3fn
48,2048,512,torch.float8_e4m3fn
48,9216,2048,torch.float8_e4m3fn
5105,1024,2048,torch.float8_e4m3fn
5105,12288,2048,torch.float8_e4m3fn
5105,2048,4096,torch.float8_e4m3fn
5105,2048,512,torch.float8_e4m3fn
5105,9216,2048,torch.float8_e4m3fn
512,1024,2048,torch.float8_e4m3fn
512,12288,2048,torch.float8_e4m3fn
512,2048,4096,torch.float8_e4m3fn
512,2048,512,torch.float8_e4m3fn
512,9216,2048,torch.float8_e4m3fn
5121,1024,2048,torch.float8_e4m3fn
5121,12288,2048,torch.float8_e4m3fn
5121,2048,4096,torch.float8_e4m3fn
5121,2048,512,torch.float8_e4m3fn
5121,9216,2048,torch.float8_e4m3fn
5123,1024,2048,torch.float8_e4m3fn
5123,12288,2048,torch.float8_e4m3fn
5123,2048,4096,torch.float8_e4m3fn
5123,2048,512,torch.float8_e4m3fn
5123,9216,2048,torch.float8_e4m3fn
5131,1024,2048,torch.float8_e4m3fn
5131,12288,2048,torch.float8_e4m3fn
5131,2048,4096,torch.float8_e4m3fn
5131,2048,512,torch.float8_e4m3fn
5131,9216,2048,torch.float8_e4m3fn
5427,1024,2048,torch.float8_e4m3fn
5427,12288,2048,torch.float8_e4m3fn
5427,2048,4096,torch.float8_e4m3fn
5427,2048,512,torch.float8_e4m3fn
5427,9216,2048,torch.float8_e4m3fn
6113,1024,2048,torch.float8_e4m3fn
6113,12288,2048,torch.float8_e4m3fn
6113,2048,4096,torch.float8_e4m3fn
6113,2048,512,torch.float8_e4m3fn
6113,9216,2048,torch.float8_e4m3fn
6197,1024,2048,torch.float8_e4m3fn
6197,12288,2048,torch.float8_e4m3fn
6197,2048,4096,torch.float8_e4m3fn
6197,2048,512,torch.float8_e4m3fn
6197,9216,2048,torch.float8_e4m3fn
64,1024,2048,torch.float8_e4m3fn
64,12288,2048,torch.float8_e4m3fn
64,2048,4096,torch.float8_e4m3fn
64,2048,512,torch.float8_e4m3fn
64,9216,2048,torch.float8_e4m3fn
6409,1024,2048,torch.float8_e4m3fn
6409,12288,2048,torch.float8_e4m3fn
6409,2048,4096,torch.float8_e4m3fn
6409,2048,512,torch.float8_e4m3fn
6409,9216,2048,torch.float8_e4m3fn
667,1024,2048,torch.float8_e4m3fn
667,12288,2048,torch.float8_e4m3fn
667,2048,4096,torch.float8_e4m3fn
667,2048,512,torch.float8_e4m3fn
667,9216,2048,torch.float8_e4m3fn
671,1024,2048,torch.float8_e4m3fn
671,12288,2048,torch.float8_e4m3fn
671,2048,4096,torch.float8_e4m3fn
671,2048,512,torch.float8_e4m3fn
671,9216,2048,torch.float8_e4m3fn
7121,1024,2048,torch.float8_e4m3fn
7121,12288,2048,torch.float8_e4m3fn
7121,2048,4096,torch.float8_e4m3fn
7121,2048,512,torch.float8_e4m3fn
7121,9216,2048,torch.float8_e4m3fn
