M,N,K
15519,3072,6144
15519,8192,3072
15524,3072,6144
15524,8192,3072
15575,3072,6144
15575,8192,3072
15595,3072,6144
15595,8192,3072
15615,3072,6144
15615,8192,3072
15626,3072,3072
15626,4096,3072
15702,3072,6144
15702,8192,3072
15724,3072,6144
15724,8192,3072
15743,3072,3072
15743,4096,3072
15747,3072,6144
15747,8192,3072
15770,3072,6144
15770,8192,3072
15793,3072,6144
15793,8192,3072
15816,3072,6144
15816,8192,3072
15821,3072,3072
15821,4096,3072
15839,3072,6144
15839,8192,3072
15876,2048,3072
15976,2048,3072
16001,3072,6144
16001,8192,3072
16003,2048,3072
16012,3072,3072
16012,4096,3072
16016,2048,3072
16250,3072,6144
16250,8192,3072
16298,3072,6144
16298,8192,3072
17237,8192,3072
17292,8192,3072
18046,8192,3072
18091,8192,3072
18955,8192,3072
18978,8192,3072
19001,8192,3072
19024,8192,3072
19670,8192,3072
20043,8192,3072
20131,8192,3072
20297,8192,3072
20329,8192,3072
20626,8192,3072
20631,8192,3072
20633,8192,3072
20635,8192,3072
20638,8192,3072
20649,8192,3072
20650,8192,3072
20672,8192,3072
20676,8192,3072
20696,8192,3072
20719,8192,3072
20743,8192,3072
20773,8192,3072
20801,8192,3072
20806,8192,3072
20815,8192,3072
20817,8192,3072
20847,8192,3072
20849,8192,3072
20851,8192,3072
20853,8192,3072
20855,8192,3072
20857,8192,3072
20861,8192,3072
20910,8192,3072
21010,8192,3072
21011,8192,3072
21041,8192,3072
21043,8192,3072
21045,8192,3072
21048,8192,3072
21184,8192,3072
21191,8192,3072
21209,8192,3072
21213,8192,3072
21228,8192,3072
21230,8192,3072
21232,8192,3072
21234,8192,3072
21236,8192,3072
21238,8192,3072
21240,8192,3072
21242,8192,3072
21244,8192,3072
21705,8192,3072
22010,8192,3072
22040,8192,3072
22188,8192,3072
23010,8192,3072
23309,8192,3072
23671,8192,3072
25002,8192,3072
25003,8192,3072
25014,8192,3072
25276,8192,3072
25284,8192,3072
25404,8192,3072
25414,8192,3072
25440,8192,3072
25462,8192,3072
25485,8192,3072
25507,8192,3072
25530,8192,3072
25553,8192,3072
25576,8192,3072
25601,8192,3072
25626,8192,3072
25653,8192,3072
25675,8192,3072
25890,8192,3072
25897,8192,3072
26029,8192,3072
26762,8192,3072
27005,8192,3072
27026,8192,3072
27239,8192,3072
27284,8192,3072
27309,8192,3072
27400,8192,3072
27671,8192,3072
27691,8192,3072
28007,8192,3072
28398,8192,3072
28997,8192,3072
29003,8192,3072
29662,8192,3072
30002,8192,3072
30003,8192,3072
30013,8192,3072
30026,8192,3072
30327,8192,3072
30482,8192,3072
30507,8192,3072
30535,8192,3072
30755,8192,3072
30801,8192,3072
30828,8192,3072
30833,8192,3072
30835,8192,3072
30837,8192,3072
30840,8192,3072
30842,8192,3072
30848,8192,3072
30868,8192,3072
31008,8192,3072
31016,8192,3072
31051,8192,3072
31053,8192,3072
31055,8192,3072
31057,8192,3072
31059,8192,3072
31061,8192,3072
31063,8192,3072
31065,8192,3072
31184,8192,3072
31216,8192,3072
31218,8192,3072
31220,8192,3072
31223,8192,3072
31225,8192,3072
31393,8192,3072
31992,8192,3072
32004,8192,3072
32011,8192,3072
32035,8192,3072
32036,8192,3072
32039,8192,3072
32264,8192,3072
32285,8192,3072
