cu_num,M,N,K,libtype,kernelId,preshuffleB,splitK,us,kernelName,tflops,bw,errRatio
256,512,1280,4096,ck,17,True,0,14.5027,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,370.19,596.49,0.0
256,512,2304,4096,ck,15,True,0,20.9159,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,462.03,664.26,0.0066
256,512,4096,1024,ck,17,True,0,8.7506,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,490.82,1018.55,0.0
256,512,4096,2048,ck,17,True,0,13.7022,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,626.9,994.84,0.0
256,512,4096,4096,ck,14,True,0,23.5072,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,730.83,981.34,0.0
256,512,4096,8192,ck,15,True,0,45.2874,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,758.7,926.15,0.0087
256,512,4608,4096,ck,14,True,0,28.3445,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,681.87,906.35,0.0
256,512,9216,4096,ck,14,True,0,46.0193,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,839.97,1070.92,0.0001
256,1024,1280,4096,ck,15,True,0,21.2226,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,505.94,568.2,0.0103
256,1024,2304,4096,ck,14,True,0,28.1273,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,687.14,652.39,0.0
256,1024,4096,1024,ck,14,True,0,12.7899,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,671.62,1065.8,0.0
256,1024,4096,2048,ck,14,True,0,19.5491,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,878.81,965.49,0.0002
256,1024,4096,4096,ck,14,True,0,33.2332,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1033.9,883.46,0.0002
256,1024,4096,8192,ck,14,True,0,65.0498,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1056.41,773.74,0.0001
256,1024,4608,4096,ck,14,True,0,44.6957,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,864.84,727.27,0.0002
256,1024,9216,4096,ck,14,True,0,75.5755,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1022.94,804.72,0.0002
256,2048,1280,4096,ck,14,True,0,29.1506,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,736.69,647.48,0.0001
256,2048,2304,4096,ck,14,True,0,43.4357,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,889.93,627.66,0.0002
256,2048,4096,1024,ck,13,True,0,20.6724,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,831.05,1115.92,0.0
256,2048,4096,2048,ck,13,True,0,31.2576,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1099.24,939.3,0.0
256,2048,4096,4096,ck,13,True,0,57.7074,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1190.83,726.82,0.0
256,2048,4096,8192,ck,13,True,0,104.1201,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1320.0,644.53,0.0
256,2048,4608,4096,ck,14,True,0,75.8911,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1018.69,607.94,0.0002
256,2048,9216,4096,ck,13,True,0,126.7179,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1220.18,661.99,0.0
256,4096,1280,4096,ck,13,True,0,43.5657,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,985.86,746.13,0.0
256,4096,2304,4096,ck,13,True,0,73.4132,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1053.07,614.18,0.0
256,4096,4096,1024,ck,13,True,0,40.5897,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,846.51,1033.34,0.0
256,4096,4096,2048,ck,13,True,0,60.2142,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1141.25,835.88,0.0
256,4096,4096,4096,ck,13,True,0,109.2569,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1257.94,614.23,0.0
256,4096,4096,8192,ck,13,True,0,195.34,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1407.18,515.32,0.0
256,4096,4608,4096,ck,13,True,0,126.7406,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1219.96,579.14,0.0
256,4096,9216,4096,ck,13,True,0,223.6517,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1382.68,581.37,0.0
256,8192,1280,4096,ck,13,True,0,75.3167,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1140.51,793.57,0.0
256,8192,2304,4096,ck,13,True,0,128.3009,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1205.13,629.3,0.0
256,8192,4096,1024,ck,13,True,0,75.8087,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,906.49,1051.22,0.0
256,8192,4096,2048,ck,13,True,0,119.1805,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1153.2,774.24,0.0
256,8192,4096,4096,ck,13,True,0,201.148,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1366.55,583.85,0.0
256,8192,4096,8192,ck,13,True,0,365.4364,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1504.38,459.1,0.0
256,8192,4608,4096,ck,13,True,0,228.7508,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1351.85,559.24,0.0
256,8192,9216,4096,ck,13,True,0,421.5208,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1467.25,527.37,0.0
256,16384,1280,4096,ck,13,True,0,133.0121,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1291.6,859.28,0.0
256,16384,2304,4096,ck,13,True,0,227.3482,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1360.19,668.77,0.0
256,16384,4096,1024,ck,13,True,0,138.7811,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,990.33,1118.23,0.0
256,16384,4096,2048,ck,13,True,0,214.9971,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1278.52,819.36,0.0
256,16384,4096,4096,ck,13,True,0,379.9931,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1446.75,573.97,0.0
256,16384,4096,8192,ck,13,True,0,718.2782,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1530.76,420.44,0.0
256,16384,4608,4096,ck,13,True,0,429.3509,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1440.49,551.95,0.0
256,16384,9216,4096,ck,13,True,0,830.3006,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1489.76,490.0,0.0
256,32768,1280,4096,ck,13,True,0,249.7698,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1375.66,894.21,0.0
256,32768,2304,4096,ck,13,True,0,435.8155,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1419.12,676.09,0.0
256,32768,4096,1024,ck,13,True,0,260.5699,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1054.91,1175.06,0.0
256,32768,4096,2048,ck,13,True,0,415.4085,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1323.41,827.94,0.0
256,32768,4096,4096,ck,13,True,0,756.3954,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1453.62,554.51,0.0
256,32768,4096,8192,ck,13,True,0,1431.4592,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1536.21,398.49,0.0
256,32768,4608,4096,ck,13,True,0,843.9091,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1465.74,539.25,0.0
256,32768,9216,4096,ck,13,True,0,1660.4396,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1489.91,467.31,0.0
