gfx,cu_num,M,N,K,bias,dtype,outdtype,scaleAB,bpreshuffle,libtype,solidx,splitK,us,kernelName,err_ratio,tflops,bw
gfx950,256,96,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3261,7,8.5424,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0192,61.87,814.17
gfx950,256,104,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5159,7,8.9433,flydsl_gemm7_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp2_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,64.02,791.19
gfx950,256,112,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3261,7,9.046,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.02,68.16,795.56
gfx950,256,120,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3079,4,9.3329,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp1_block_k_warp2_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0211,70.78,784.05
gfx950,256,128,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3535,4,9.7019,flydsl_gemm4_abf16_wbf16_bf16_t16x64x128_split_k4_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,72.63,766.69
gfx950,256,136,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4661,7,9.5652,flydsl_gemm5_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0204,78.27,790.28
gfx950,256,144,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5989,7,9.5867,flydsl_gemm8_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp2_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0201,82.69,801.11
gfx950,256,168,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3792,4,10.2315,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0142,90.39,786.05
gfx950,256,176,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5696,7,10.6808,flydsl_gemm7_abf16_wbf16_bf16_t32x64x64_split_k7_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0198,90.71,764.3
gfx950,256,184,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,5262,4,10.9946,flydsl_gemm6_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0145,92.13,753.48
gfx950,256,192,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,4607,4,11.076,flydsl_gemm5_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.0143,95.43,758.85
gfx950,256,200,384,7168,False,torch.bfloat16,torch.bfloat16,False,False,flydsl,3792,4,10.6953,flydsl_gemm4_abf16_wbf16_bf16_t32x64x128_split_k4_block_m_warp1_block_n_warp4_block_k_warp1_async_copyTrue_b_to_ldsTrue_b_preshuffleFalse_c_to_ldsFalse_gfx950,0.014,102.94,797.16
