gfx,cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
gfx950,256,32,512,512,ck,7,0,3.2402,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.18,96.07,0.0
gfx950,256,32,512,1024,ck,7,0,4.1647,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,8.06,141.62,0.0
gfx950,256,32,512,2048,ck,7,0,5.4239,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,12.37,211.45,0.0
gfx950,256,64,512,256,ck,7,0,2.9421,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,5.7,72.39,0.0
gfx950,256,64,512,512,ck,7,0,3.2447,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,10.34,111.09,0.0
gfx950,256,64,512,1024,ck,12,0,4.617,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,14.54,141.94,0.0
gfx950,256,64,512,2048,ck,12,0,6.0064,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,22.35,207.31,0.0
gfx950,256,128,512,256,ck,10,0,3.388,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,9.9,87.05,0.0
gfx950,256,128,512,512,ck,7,0,3.2281,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,20.79,142.11,0.0
gfx950,256,128,512,1024,ck,6,0,4.7301,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,28.38,166.26,0.0
gfx950,256,128,512,2048,ck,7,0,5.4576,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,49.19,264.18,0.0
gfx950,256,256,512,256,ck,7,0,2.9734,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,22.57,154.29,0.0
gfx950,256,256,512,512,ck,7,0,3.2856,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,40.85,199.46,0.0
gfx950,256,256,512,1024,ck,7,0,4.2998,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,62.43,243.87,0.0
gfx950,256,256,512,2048,ck,12,0,6.0343,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,88.97,304.1,0.0
gfx950,256,512,512,256,ck,12,0,3.3898,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,39.59,232.0,0.0
gfx950,256,512,512,512,ck,6,0,3.8003,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,70.64,275.92,0.0
gfx950,256,512,512,1024,ck,12,0,4.7538,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,112.94,330.86,0.0
gfx950,256,1024,512,256,ck,12,0,3.4621,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,77.54,416.45,0.0
gfx950,256,1024,512,512,ck,6,0,3.9298,a8w8_blockscale_bpreshuffle_1x128x128_256x16x128x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,136.62,466.95,0.0
