cu_num,M,N,K,libtype,kernelId,preshuffleB,splitK,us,kernelName,tflops,bw,errRatio
256,2048,32768,1536,ck,13,True,0,183.2077,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1125.27,1024.49,0.0
256,2048,36864,7168,ck,13,True,0,722.2518,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1498.55,595.24,0.0
256,4096,64,7168,ck,7,True,0,17.6182,a8w8_blockscale_bpreshuffle_1x128x128_256x16x64x256_16x16_16x16_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,213.31,1722.26,0.0
256,4096,128,7168,ck,12,True,0,19.2623,a8w8_blockscale_bpreshuffle_1x128x128_256x32x64x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,390.2,1626.3,0.0
256,4096,512,7168,ck,14,True,0,38.3567,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,783.82,970.48,0.0
256,4096,576,7168,ck,15,True,0,49.2169,a8w8_blockscale_bpreshuffle_1x128x128_256x64x64x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,687.22,776.31,0.0118
256,4096,1024,7168,ck,13,True,0,54.9137,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1094.98,821.08,0.0
256,4096,1536,7168,ck,13,True,0,82.0635,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1099.08,645.27,0.0
256,4096,2112,7168,ck,0,False,0,142.9991,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,867.26,432.17,0.0
256,4096,2240,7168,ck,0,False,0,145.6221,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,903.25,437.89,0.0
256,4096,3072,1536,ck,13,True,0,38.1936,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1012.07,947.17,0.0
256,4096,4096,512,ck,16,True,0,26.4897,a8w8_blockscale_bpreshuffle_1x128x128_256x64x128x256_16x16_16x16_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,648.55,1425.03,0.0
256,4096,4096,7168,ck,13,True,0,178.7626,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1345.46,516.19,0.0
256,4096,4608,7168,ck,13,True,0,202.4146,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1336.78,494.72,0.0
256,4096,7168,256,ck,8,True,0,29.4172,a8w8_blockscale_bpreshuffle_1x128x128_256x32x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,511.01,2094.14,0.0
256,4096,7168,512,ck,13,True,0,45.2241,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,664.8,1425.95,0.0
256,4096,7168,2048,ck,13,True,0,104.4884,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1150.93,782.76,0.0
256,4096,7168,2304,ck,13,True,0,117.0643,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1155.7,723.3,0.0
256,4096,7168,4096,ck,13,True,0,178.5565,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1347.01,587.25,0.0
256,4096,7168,4608,ck,13,True,0,198.451,a8w8_blockscale_bpreshuffle_1x128x128_256x64x256x128_16x16_16x16_8x32x1_8x32x1_1x32x1x8_8_2x1_intrawave_v1,1363.47,557.44,0.0
