M,N,K,q_dtype_w
16384,2304,2048,torch.int8
32768,2304,2048,torch.int8
1,2560,4096,torch.int8
2,2560,4096,torch.int8
4,2560,4096,torch.int8
8,2560,4096,torch.int8
16,2560,4096,torch.int8
32,2560,4096,torch.int8
64,2560,4096,torch.int8
128,2560,4096,torch.int8
256,2560,4096,torch.int8
512,2560,4096,torch.int8
1024,2560,4096,torch.int8
2048,2560,4096,torch.int8
4096,2560,4096,torch.int8
8192,2560,4096,torch.int8
16384,2560,4096,torch.int8
32768,2560,4096,torch.int8
1,3072,2048,torch.int8
2,3072,2048,torch.int8
4,3072,2048,torch.int8
8,3072,2048,torch.int8
16,3072,2048,torch.int8
32,3072,2048,torch.int8
64,3072,2048,torch.int8
128,3072,2048,torch.int8
256,3072,2048,torch.int8
512,3072,2048,torch.int8
1024,3072,2048,torch.int8
2048,3072,2048,torch.int8
4096,3072,2048,torch.int8
8192,3072,2048,torch.int8
16384,3072,2048,torch.int8
32768,3072,2048,torch.int8
1,4096,1024,torch.int8
2,4096,1024,torch.int8
4,4096,1024,torch.int8
8,4096,1024,torch.int8
16,4096,1024,torch.int8
32,4096,1024,torch.int8
64,4096,1024,torch.int8
128,4096,1024,torch.int8
256,4096,1024,torch.int8
512,4096,1024,torch.int8
1024,4096,1024,torch.int8
2048,4096,1024,torch.int8
4096,4096,1024,torch.int8
8192,4096,1024,torch.int8
16384,4096,1024,torch.int8
32768,4096,1024,torch.int8
1,4096,2048,torch.int8
2,4096,2048,torch.int8
4,4096,2048,torch.int8
8,4096,2048,torch.int8
16,4096,2048,torch.int8
32,4096,2048,torch.int8
64,4096,2048,torch.int8
128,4096,2048,torch.int8
256,4096,2048,torch.int8
512,4096,2048,torch.int8
1024,4096,2048,torch.int8
2048,4096,2048,torch.int8
4096,4096,2048,torch.int8
8192,4096,2048,torch.int8
16384,4096,2048,torch.int8
32768,4096,2048,torch.int8
1,4096,4096,torch.int8
2,4096,4096,torch.int8
4,4096,4096,torch.int8
8,4096,4096,torch.int8
16,4096,4096,torch.int8
32,4096,4096,torch.int8
64,4096,4096,torch.int8
128,4096,4096,torch.int8
256,4096,4096,torch.int8
512,4096,4096,torch.int8
1024,4096,4096,torch.int8
2048,4096,4096,torch.int8
4096,4096,4096,torch.int8
8192,4096,4096,torch.int8
16384,4096,4096,torch.int8
32768,4096,4096,torch.int8
1,4096,8192,torch.int8
2,4096,8192,torch.int8
4,4096,8192,torch.int8
8,4096,8192,torch.int8
16,4096,8192,torch.int8
32,4096,8192,torch.int8
64,4096,8192,torch.int8
128,4096,8192,torch.int8
256,4096,8192,torch.int8
512,4096,8192,torch.int8
1024,4096,8192,torch.int8
2048,4096,8192,torch.int8
4096,4096,8192,torch.int8
8192,4096,8192,torch.int8
16384,4096,8192,torch.int8
32768,4096,8192,torch.int8
1,4352,4096,torch.int8
2,4352,4096,torch.int8
4,4352,4096,torch.int8
8,4352,4096,torch.int8
16,4352,4096,torch.int8
32,4352,4096,torch.int8
64,4352,4096,torch.int8
128,4352,4096,torch.int8
256,4352,4096,torch.int8
512,4352,4096,torch.int8
1024,4352,4096,torch.int8
2048,4352,4096,torch.int8
4096,4352,4096,torch.int8
8192,4352,4096,torch.int8
16384,4352,4096,torch.int8
32768,4352,4096,torch.int8
1,4608,2048,torch.int8
